age,alloc_method,coef_borjas,se_borjas,mean_resid_borjas,sum_weight_borjas,coef_tenure,se_tenure,mean_resid_tenure,sum_weight_tenure
38,"2b. weighted lottery, new wage levels",0.10450226199088507,0.0036762078319654283,-0.07472760173666566,5729,0.1405022619908851,0.0036762078319654283,-0.03872760173666569,5729
39,"2b. weighted lottery, new wage levels",0.10450031743976436,0.00367620721990834,-0.06951913967799826,4630,0.14050031743976446,0.00367620721990834,-0.03351913967799825,4630
40,"2b. weighted lottery, new wage levels",0.10450209375523499,0.0036762043942696883,-0.09488016583619821,4269,0.14050209375523492,0.0036762043942696883,-0.058880165836198164,4269
41,"2b. weighted lottery, new wage levels",0.10450183699990753,0.0036761789284590284,-0.09157483126730051,3444,0.14050183699990756,0.0036761789284590284,-0.055574831267300506,3444
42,"2b. weighted lottery, new wage levels",0.10450103267128827,0.003676208660930056,-0.06319109334591874,2862,0.14050103267128825,0.003676208660930056,-0.02719109334591875,2862
43,"2b. weighted lottery, new wage levels",0.10450285153683178,0.003676203474221477,-0.06859799011389969,2403,0.1405028515368318,0.003676203474221477,-0.032597990113899696,2403
44,"2b. weighted lottery, new wage levels",0.10450102962044139,0.0036761948418313575,-0.08334656532456973,2082,0.14050102962044142,0.0036761948418313575,-0.04734656532456976,2082
45,"2b. weighted lottery, new wage levels",0.10450183436204313,0.0036762055939194033,-0.09744817874036926,1662,0.14050183436204322,0.0036762055939194033,-0.0614481787403693,1662
46,"2b. weighted lottery, new wage levels",0.10450640161998263,0.0036762204889810163,-0.1033090405799582,1406,0.14050640161998268,0.0036762204889810163,-0.06730904057995822,1406
47,"2b. weighted lottery, new wage levels",0.10450064754652631,0.003676213563014672,-0.03075615708046953,1169,0.14050064754652633,0.003676213563014672,0.005243842919530456,1169
48,"2b. weighted lottery, new wage levels",0.10449912420028812,0.003676222942852444,-0.0861668014292217,960,0.1404991242002882,0.003676222942852444,-0.05016680142922168,960
49,"2b. weighted lottery, new wage levels",0.10450214023398104,0.0036761685871618136,-0.037309040745171385,737,0.14050214023398103,0.0036761685871618136,-0.0013090407451713856,737
50,"2b. weighted lottery, new wage levels",0.10449931928865393,0.003676174193357236,-0.03810510281376317,645,0.14049931928865383,0.003676174193357236,-0.0021051028137631933,645
21,"3. EIG wage ranking, RPP and NPV adjusted",0.09880357307537253,0.004141659870280985,0.018304174914983963,54,0.13480357307537252,0.004141659870280985,0.054304174914983974,54
22,"3. EIG wage ranking, RPP and NPV adjusted",0.09880327542446789,0.004141514639430997,0.10456457831254866,813,0.1348032754244679,0.004141514639430997,0.14056457831254865,813
23,"3. EIG wage ranking, RPP and NPV adjusted",0.09880465618977202,0.004141500155301273,0.06622428138159608,6508,0.13480465618977208,0.004141500155301273,0.10222428138159607,6508
24,"3. EIG wage ranking, RPP and NPV adjusted",0.09880512710187303,0.0041414943262601004,0.028391126225475075,15545,0.134805127101873,0.0041414943262601004,0.06439112622547506,15545
25,"3. EIG wage ranking, RPP and NPV adjusted",0.09880511152328854,0.004141488248900929,-0.019024577548186664,24807,0.1348051115232886,0.004141488248900929,0.016975422451813334,24807
26,"3. EIG wage ranking, RPP and NPV adjusted",0.09880424449793813,0.0041414904722317835,-0.04161696038096771,36498,0.13480424449793818,0.0041414904722317835,-0.005616960380967725,36498
27,"3. EIG wage ranking, RPP and NPV adjusted",0.0988052146407304,0.004141482379286261,-0.03400835713757536,36225,0.13480521464073034,0.004141482379286261,0.0019916428624246257,36225
28,"3. EIG wage ranking, RPP and NPV adjusted",0.09880445777562114,0.004141483428258654,-0.04692789892162387,33988,0.13480445777562117,0.004141483428258654,-0.010927898921623855,33988
29,"3. EIG wage ranking, RPP and NPV adjusted",0.09880440173782186,0.004141481935786752,-0.010028617171103118,26857,0.13480440173782188,0.004141481935786752,0.025971382828896886,26857
30,"3. EIG wage ranking, RPP and NPV adjusted",0.09880444234067068,0.004141481866037438,0.011632907538224636,21470,0.1348044423406707,0.004141481866037438,0.04763290753822463,21470
31,"3. EIG wage ranking, RPP and NPV adjusted",0.09880562569161147,0.004141480805357861,0.033810834261899625,15204,0.13480562569161147,0.004141480805357861,0.06981083426189964,15204
32,"3. EIG wage ranking, RPP and NPV adjusted",0.09880366751753564,0.004141483936412483,0.06289205416969212,11978,0.1348036675175357,0.004141483936412483,0.09889205416969213,11978
33,"3. EIG wage ranking, RPP and NPV adjusted",0.0988054962405161,0.004141477612052847,0.07080025100307619,8692,0.13480549624051608,0.004141477612052847,0.10680025100307612,8692
