alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num
1. old unweighted lottery,eligible applicants,0,295000,0.052827599112891345
1. old unweighted lottery,eligible applicants,0,300000,0.04932041424948141
1. old unweighted lottery,eligible applicants,0.1,0,1
1. old unweighted lottery,eligible applicants,0.1,5000,0.931394010822088
1. old unweighted lottery,eligible applicants,0.1,10000,0.8709005267705342
1. old unweighted lottery,eligible applicants,0.1,15000,0.8165743988724006
1. old unweighted lottery,eligible applicants,0.1,20000,0.7670291415989456
1. old unweighted lottery,eligible applicants,0.1,25000,0.7215239316273349
1. old unweighted lottery,eligible applicants,0.1,30000,0.679616648019335
1. old unweighted lottery,eligible applicants,0.1,35000,0.6408340732541515
1. old unweighted lottery,eligible applicants,0.1,40000,0.6049951224950528
1. old unweighted lottery,eligible applicants,0.1,45000,0.5718397152333436
1. old unweighted lottery,eligible applicants,0.1,50000,0.5410765947450359
1. old unweighted lottery,eligible applicants,0.1,55000,0.5124794448005796
1. old unweighted lottery,eligible applicants,0.1,60000,0.48579997053588847
1. old unweighted lottery,eligible applicants,0.1,65000,0.46087408870290253
1. old unweighted lottery,eligible applicants,0.1,70000,0.4374240403260165
1. old unweighted lottery,eligible applicants,0.1,75000,0.41535064283524376
1. old unweighted lottery,eligible applicants,0.1,80000,0.394417745358407
1. old unweighted lottery,eligible applicants,0.1,85000,0.3746071119994584
1. old unweighted lottery,eligible applicants,0.1,90000,0.35578460141825907
1. old unweighted lottery,eligible applicants,0.1,95000,0.33790812771497863
1. old unweighted lottery,eligible applicants,0.1,100000,0.32087687584858626
1. old unweighted lottery,eligible applicants,0.1,105000,0.3046906467372479
1. old unweighted lottery,eligible applicants,0.1,110000,0.28925830071709285
1. old unweighted lottery,eligible applicants,0.1,115000,0.2745547136605973
1. old unweighted lottery,eligible applicants,0.1,120000,0.2605485102706318
1. old unweighted lottery,eligible applicants,0.1,125000,0.24712462124680964
1. old unweighted lottery,eligible applicants,0.1,130000,0.23436033015731447
1. old unweighted lottery,eligible applicants,0.1,135000,0.22217429216453713
1. old unweighted lottery,eligible applicants,0.1,140000,0.2105334198675708
1. old unweighted lottery,eligible applicants,0.1,145000,0.19940701484752318
1. old unweighted lottery,eligible applicants,0.1,150000,0.18878185807057846
1. old unweighted lottery,eligible applicants,0.1,155000,0.17858831071100084
