cut_variable,scenario_int,scenario_chr,mu_pi_num,quartile_int,cohort_share_pct,savings_lower_num,median_savings_num,savings_upper_num,wage_lower_num,median_wage_num,wage_upper_num,f1_share_pre_pct,f1_share_post_pct,mean_age_pre_num,mean_age_post_num,age_shift_num,hiring_rate_pct,volume_reduction_pct,fy2027_applications_num,fy2027_lost_num,cohort_mean_age_pre_num,cohort_mean_age_post_num,cohort_f1_share_pre_pct,cohort_f1_share_post_pct
payroll savings,2,"Borjas headline, weighted lottery + old wage levels",0,2,26.71253026347329,-0.08660850010389473,0.00356325911285319,0.08993908245290386,38766.59590111127,122629.482685614,321634.9440147144,84.32090465108374,82.37256634883944,29.906045108449025,30.334925461241227,0.42888035279220205,38.974718429670425,61.025281570329575,52612.97234901255,32107.21451850455,30.382967255271435,31.161109432782425,83.02614265376482,82.16685052049169
payroll savings,2,"Borjas headline, weighted lottery + old wage levels",0,3,22.323341096099508,0.08994226004090458,0.168222652926392,0.2636980127267044,37275.57298183776,104685.151157449,282585.4575735125,84.84406487025367,84.04769376253314,30.483556771157183,30.73669134430569,0.2531345731485075,63.206911302189575,36.793088697810425,43968.029843757125,16177.196219093317,30.382967255271435,31.161109432782425,83.02614265376482,82.16685052049169
payroll savings,2,"Borjas headline, weighted lottery + old wage levels",0,4,17.36084495718323,0.26369946591017307,0.3681395569752435,1.245999571438833,34910.71545044166,91348.1717727989,268001.860087746,82.49345767079797,82.06177549937594,32.19220956375616,32.333511773183595,0.14130220942743676,85.98810466730431,14.011895332695687,34193.902512363864,4791.213830196426,30.382967255271435,31.161109432782425,83.02614265376482,82.16685052049169
payroll savings,2,"Borjas headline, weighted lottery + old wage levels",0.1,1,33.60328368324397,-2.3122049616740523,-0.235621378591166,-0.08660927193350473,40969.73866083081,138788.531016133,989121.7067940723,81.06441159249957,75.31465082792245,29.760537846341258,30.659168206148387,0.8986303598071288,9.485395063343535,90.51460493665647,66184.9932531498,59907.085170441285,30.382967255271435,31.32340854192198,83.02614265376482,81.82169932496767
payroll savings,2,"Borjas headline, weighted lottery + old wage levels",0.1,2,26.71253026347329,-0.08660850010389473,0.00356325911285319,0.08993908245290386,38766.59590111127,122629.482685614,321634.9440147144,84.32090465108374,81.83307606877257,29.906045108449025,30.45035601140276,0.5443109029537361,28.741288761953896,71.2587112380461,52612.97234901255,37491.3260399359,30.382967255271435,31.32340854192198,83.02614265376482,81.82169932496767
payroll savings,2,"Borjas headline, weighted lottery + old wage levels",0.1,3,22.323341096099508,0.08994226004090458,0.168222652926392,0.2636980127267044,37275.57298183776,104685.151157449,282585.4575735125,84.84406487025367,83.70155485327463,30.483556771157183,30.83528674531554,0.3517299741583564,50.029121170386745,49.970878829613255,43968.029843757125,21971.210916992066,30.382967255271435,31.32340854192198,83.02614265376482,81.82169932496767
payroll savings,2,"Borjas headline, weighted lottery + old wage levels",0.1,4,17.36084495718323,0.26369946591017307,0.3681395569752435,1.245999571438833,34910.71545044166,91348.1717727989,268001.860087746,82.49345767079797,81.79548590784779,32.19220956375616,32.41744514299797,0.22523557924181148,75.1365055327515,24.8634944672485,34193.902512363864,8501.799059297935,30.382967255271435,31.32340854192198,83.02614265376482,81.82169932496767
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",-0.1,1,53.2742372474902,-2.3122049616740523,-0.260273362973262,-0.08660927193350473,42600.65483638601,144655.867976545,989121.7067940723,80.63967866475275,77.01348952355696,29.702815821050386,30.27784272614909,0.5750269050987029,19.394400610248393,80.6055993897516,104928.88332071048,84578.55533363178,30.18509864621598,30.894971904306114,82.73910640484814,82.57524878593941
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",-0.1,2,28.133386462482786,-0.08660499931366103,-0.00564419259545487,0.08993908245290386,42407.61064800436,133290.049778388,295511.2731520856,85.13504593180373,84.08575424139177,30.1066479426547,30.341942995930108,0.2352950532754079,54.01220992705558,45.98779007294442,55411.489268715595,25482.519361189054,30.18509864621598,30.894971904306114,82.73910640484814,82.57524878593941
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",-0.1,3,14.130327095502876,0.08994226004090458,0.156410238474878,0.2636466342587372,39558.527356957726,127110.768884438,282585.4575735125,85.58801025583006,85.28253827506798,31.17320684400087,31.293125194042087,0.11991835004121754,78.5202085222588,21.479791477741202,27831.077828474128,5978.057483564106,30.18509864621598,30.894971904306114,82.73910640484814,82.57524878593941
