scenario,mu_pi_num,fee_num,hiring_rate_num
growth_and_separations,0,80000,0.4741685195642454
growth_and_separations,0,85000,0.454518540740218
growth_and_separations,0,90000,0.4356812780875743
growth_and_separations,0,95000,0.41762182066304326
growth_and_separations,0,100000,0.40024911178560507
growth_and_separations,0,105000,0.3835600632926287
growth_and_separations,0,110000,0.36749026493494275
growth_and_separations,0,115000,0.35198912966753704
growth_and_separations,0,120000,0.33706883367450174
growth_and_separations,0,125000,0.3227249652949342
growth_and_separations,0,130000,0.3088707618644268
growth_and_separations,0,135000,0.295527693466036
growth_and_separations,0,140000,0.2826658196277735
growth_and_separations,0,145000,0.27024137667349
growth_and_separations,0,150000,0.25829006964542023
growth_and_separations,0,155000,0.24673960612691462
growth_and_separations,0,160000,0.23561880896920065
growth_and_separations,0,165000,0.2248833556857485
growth_and_separations,0,170000,0.21452621703018754
growth_and_separations,0,175000,0.20453280511046798
growth_and_separations,0,180000,0.194860473871203
growth_and_separations,0,185000,0.18557339827298183
growth_and_separations,0,190000,0.17663216747841232
growth_and_separations,0,195000,0.1680002235241523
growth_and_separations,0,200000,0.15965486106209265
growth_and_separations,0,205000,0.1516095503635209
growth_and_separations,0,210000,0.14390905508105686
growth_and_separations,0,215000,0.13650143526034686
growth_and_separations,0,220000,0.12935572104185789
growth_and_separations,0,225000,0.12252535234465071
growth_and_separations,0,230000,0.11595197760052703
growth_and_separations,0,235000,0.10964080256935128
growth_and_separations,0,240000,0.10360388579092261
growth_and_separations,0,245000,0.09780231641608435
growth_and_separations,0,250000,0.0922570351285852
growth_and_separations,0,255000,0.08696271852427001
growth_and_separations,0,260000,0.08189280840450812
growth_and_separations,0,265000,0.07706486317968989
growth_and_separations,0,270000,0.07243470741864896
growth_and_separations,0,275000,0.06803031105150467
growth_and_separations,0,280000,0.06383743911907955
growth_and_separations,0,285000,0.059862562057363344
growth_and_separations,0,290000,0.056092268417213716
growth_and_separations,0,295000,0.05248176513493799
growth_and_separations,0,300000,0.04908734500364697
growth_and_separations,0,305000,0.04587342062539705
growth_and_separations,0,310000,0.04284463894967179
growth_and_separations,0,315000,0.03996691254323426
growth_and_separations,0,320000,0.03723850615279639
growth_and_separations,0,325000,0.03469144843650737
growth_and_separations,0,330000,0.03228700501164679
growth_and_separations,0,335000,0.030027852285828556
growth_and_separations,0,340000,0.027904931648667093
growth_and_separations,0,345000,0.025915478459330364
growth_and_separations,0,350000,0.02405219877179359
growth_and_separations,0,355000,0.022305122232418054
growth_and_separations,0,360000,0.02067089597891814
growth_and_separations,0,365000,0.019146402437589707
growth_and_separations,0,370000,0.01772158302157597
growth_and_separations,0,375000,0.0163902319945413
growth_and_separations,0,380000,0.01514811416201972
growth_and_separations,0,385000,0.013999170607750397
growth_and_separations,0,390000,0.012925372344180135
growth_and_separations,0,395000,0.011933072163007928
growth_and_separations,0,400000,0.011015946683607447
growth_and_separations,0.1,0,1
growth_and_separations,0.1,5000,0.93099841768429
growth_and_separations,0.1,10000,0.8699857650408225
growth_and_separations,0.1,15000,0.815057233947437
growth_and_separations,0.1,20000,0.7650580868685439
growth_and_separations,0.1,25000,0.7192433413331452
growth_and_separations,0.1,30000,0.6770734512129125
growth_and_separations,0.1,35000,0.638123544151902
growth_and_separations,0.1,40000,0.6020753923437099
growth_and_separations,0.1,45000,0.5686973247688291
growth_and_separations,0.1,50000,0.5377589939060254
growth_and_separations,0.1,55000,0.5090346109503304
growth_and_separations,0.1,60000,0.48229165196113044
growth_and_separations,0.1,65000,0.45722650643514273
growth_and_separations,0.1,70000,0.4337272946518905
growth_and_separations,0.1,75000,0.4115810510340933
growth_and_separations,0.1,80000,0.3906478965200819
growth_and_separations,0.1,85000,0.37083030399284717
growth_and_separations,0.1,90000,0.3519819239547304
growth_and_separations,0.1,95000,0.3341192266064328
growth_and_separations,0.1,100000,0.31708695089527306
growth_and_separations,0.1,105000,0.3008935672101832
growth_and_separations,0.1,110000,0.28555504576362906
growth_and_separations,0.1,115000,0.2708966553728148
growth_and_separations,0.1,120000,0.2569537481471025
growth_and_separations,0.1,125000,0.24364059080962788
growth_and_separations,0.1,130000,0.2309695948330627
growth_and_separations,0.1,135000,0.2188270570104233
growth_and_separations,0.1,140000,0.20731512199712945
growth_and_separations,0.1,145000,0.19624620597162415
growth_and_separations,0.1,150000,0.1857017481941601
growth_and_separations,0.1,155000,0.17562919107785688
growth_and_separations,0.1,160000,0.1660247994164843
growth_and_separations,0.1,165000,0.15690136702665822
growth_and_separations,0.1,170000,0.14815621985365052
growth_and_separations,0.1,175000,0.13983906261029153
growth_and_separations,0.1,180000,0.1318891908425684
growth_and_separations,0.1,185000,0.1243079574598245
growth_and_separations,0.1,190000,0.11708915672572402
growth_and_separations,0.1,195000,0.11019826004094022
growth_and_separations,0.1,200000,0.10367885461518547
growth_and_separations,0.1,205000,0.09745261876191152
growth_and_separations,0.1,210000,0.09153949318839556
growth_and_separations,0.1,215000,0.0859198901202325
growth_and_separations,0.1,220000,0.08056863367920754
growth_and_separations,0.1,225000,0.0754962236182678
growth_and_separations,0.1,230000,0.070701483494506
growth_and_separations,0.1,235000,0.06614885532105125
growth_and_separations,0.1,240000,0.06184333898025929
growth_and_separations,0.1,245000,0.057774670007764525
growth_and_separations,0.1,250000,0.0539145549516482
growth_and_separations,0.1,255000,0.05027499352956402
growth_and_separations,0.1,260000,0.04684542716641962
growth_and_separations,0.1,265000,0.04362000305875157
growth_and_separations,0.1,270000,0.04057395708336275
growth_and_separations,0.1,275000,0.037714494953059924
growth_and_separations,0.1,280000,0.0350287052069363
growth_and_separations,0.1,285000,0.03251929366367849
growth_and_separations,0.1,290000,0.030152114067904297
growth_and_separations,0.1,295000,0.027938195571868895
growth_and_separations,0.1,300000,0.02586124444130725
growth_and_separations,0.1,305000,0.02391414319663067
growth_and_separations,0.1,310000,0.022114862003246968
growth_and_separations,0.1,315000,0.020442636643843666
growth_and_separations,0.1,320000,0.018871408908025696
growth_and_separations,0.1,325000,0.017411384438013225
growth_and_separations,0.1,330000,0.016053857556292787
growth_and_separations,0.1,335000,0.014784269781887478
growth_and_separations,0.1,340000,0.013606621020681877
growth_and_separations,0.1,345000,0.012518234865061992
growth_and_separations,0.1,350000,0.011517052539940233
