"zcta","state","puma22","stab","ZIPName","PUMA22name","pop20","afact"
" ","22","02501","LA","[not in a ZCTA]","Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes P",15,0.0018 
" ","23","00100","ME","[not in a ZCTA]","Northeast Maine--Aroostook, Washington & Northern Penobscot Counties",35,0.0041 
" ","23","00200","ME","[not in a ZCTA]","Northwest Maine--Oxford, Somerset, Franklin & Somerset Counties",11,0.0013 
" ","23","00500","ME","[not in a ZCTA]","Coastal Maine Region--Hancock, Knox, Waldo & Lincoln Counties",6,0.0007 
" ","25","01103","MA","[not in a ZCTA]","Plymouth County (North)--Marshfield, Hingham & Scituate",12,0.0014 
" ","25","01301","MA","[not in a ZCTA]","Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns",1,0.0001 
" ","26","00300","MI","[not in a ZCTA]","Northeast Lower Peninsula",2,0.0002 
" ","26","00400","MI","[not in a ZCTA]","Northwest Lower Peninsula (East)",6,0.0007 
" ","26","00500","MI","[not in a ZCTA]","Northwest Lower Peninsula (West)",3,0.0004 
" ","26","01300","MI","[not in a ZCTA]","Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties",3,0.0004 
" ","27","00101","MN","[not in a ZCTA]","Northwest Minnesota",14,0.0016 
" ","28","00300","MS","[not in a ZCTA]","North Delta Region",1,0.0001 
" ","28","01900","MS","[not in a ZCTA]","South Region--George, Hancock, Pearl River & Stone Counties",45,0.0053 
" ","30","00100","MT","[not in a ZCTA]","Flathead, Glacier & Lincoln Counties--Kalispell City",4,0.0005 
" ","30","00600","MT","[not in a ZCTA]","Central Montana--Havre & Livingston City",4,0.0005 
" ","30","00700","MT","[not in a ZCTA]","Eastern Montana--Sidney & Miles City",17,0.002 
" ","32","00200","NV","[not in a ZCTA]","Rural Nevada",767,0.0895 
" ","32","00401","NV","[not in a ZCTA]","Clark County (North)--Las Vegas (Northeast) & North Las Vegas (Outer) Cities",5,0.0006 
" ","32","00402","NV","[not in a ZCTA]","Clark County (East)--Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB PU",7,0.0008 
" ","35","00100","NM","[not in a ZCTA]","Northwest New Mexico Navajo Nation",331,0.0386 
" ","35","00200","NM","[not in a ZCTA]","San Juan County (NE)--Farmington, Bloomfield & Aztec Cities",27,0.0032 
" ","35","00300","NM","[not in a ZCTA]","North Central New Mexico",101,0.0118 
" ","35","00400","NM","[not in a ZCTA]","Eastern New Mexico",10,0.0012 
" ","35","00600","NM","[not in a ZCTA]","Sandoval County New Mexico",15,0.0018 
" ","35","00800","NM","[not in a ZCTA]","Valencia County, Torrance County & East Mountain",1,0.0001 
" ","35","00900","NM","[not in a ZCTA]","Southwest New Mexico",111,0.013 
" ","35","01001","NM","[not in a ZCTA]","Doña Ana County (Outer)",8,0.0009 
" ","36","00200","NY","[not in a ZCTA]","Clinton, Franklin, Essex & Hamilton Counties",5,0.0006 
" ","36","00500","NY","[not in a ZCTA]","Jefferson & Lewis Counties",3,0.0004 
" ","36","00600","NY","[not in a ZCTA]","Oswego County",4,0.0005 
" ","36","00800","NY","[not in a ZCTA]","Wayne & Seneca & Yates Counties",1,0.0001 
" ","36","02702","NY","[not in a ZCTA]","Ulster County (East)",9,0.0011 
" ","36","02804","NY","[not in a ZCTA]","Dutchess County (Southwest)--Fishkill & Wappinger town",4,0.0005 
" ","36","03102","NY","[not in a ZCTA]","Westchester County (Northwest)",8,0.0009 
" ","36","03112","NY","[not in a ZCTA]","Westchester County (Southwest)--Yonkers City",46,0.0054 
" ","36","03305","NY","[not in a ZCTA]","Suffolk County (East)",11,0.0013 
" ","36","03306","NY","[not in a ZCTA]","Suffolk County (South Central)--Brookhaven Town (South)",2,0.0002 
" ","36","04103","NY","[not in a ZCTA]","NYC-Manhattan Community District 3--Lower East Side & Chinatown",14,0.0016 
" ","36","04107","NY","[not in a ZCTA]","NYC-Manhattan Community District 7--Upper West Side",76,0.0089 
" ","36","04111","NY","[not in a ZCTA]","NYC-Manhattan Community District 11--East Harlem",22,0.0026 
" ","36","04210","NY","[not in a ZCTA]","NYC-Bronx Community District 10--Co-op City & Throgs Neck",4,0.0005 
" ","36","04407","NY","[not in a ZCTA]","NYC-Queens Community District 7--Flushing, Murray Hill, & Whitestone",2,0.0002 
" ","36","04414","NY","[not in a ZCTA]","NYC-Queens Community District 14--The Rockaways",21,0.0025 
" ","39","00401","OH","[not in a ZCTA]","Sandusky, Ottawa & Lucas (East) Counties--Oregon City",7,0.0008 
